x,y
0.00,30.00
1.00,31.50
2.00,33.00
3.00,34.50
4.00,36.00
5.00,37.50
6.00,39.00
7.00,40.50
8.00,42.00
9.00,43.50
10.00,45.00
11.00,46.50
12.00,48.00
13.00,49.50
14.00,51.00
15.00,52.50
16.00,54.00
17.00,55.50
18.00,57.00
19.00,58.50
20.00,60.00
21.00,61.50
22.00,63.00
23.00,64.50
24.00,66.00
25.00,67.50
26.00,69.00
27.00,70.50
28.00,72.00
29.00,73.50
30.00,75.00
31.00,76.50
32.00,78.00
33.00,79.50
34.00,81.00
35.00,82.50
36.00,84.00
37.00,85.50
38.00,87.00
39.00,88.50
40.00,90.00
41.00,91.50
42.00,93.00
43.00,94.50
44.00,96.00
45.00,97.50
46.00,99.00
47.00,100.50
48.00,102.00
49.00,103.50
50.00,105.00
51.00,106.50
52.00,108.00
53.00,109.50
54.00,111.00
55.00,112.50
56.00,114.00
57.00,115.50
58.00,117.00
59.00,118.50
60.00,120.00
61.00,121.50
62.00,123.00
63.00,124.50
64.00,126.00
65.00,127.50
66.00,129.00
67.00,130.50
68.00,132.00
69.00,133.50
70.00,135.00
71.00,136.50
72.00,138.00
73.00,139.50
74.00,141.00
75.00,142.50
76.00,144.00
77.00,145.50
78.00,147.00
79.00,148.50
80.00,150.00
81.00,151.50
82.00,153.00
83.00,154.50
84.00,156.00
85.00,157.50
86.00,159.00
87.00,160.50
88.00,162.00
89.00,163.50
90.00,165.00
91.00,166.50
92.00,168.00
93.00,169.50
94.00,171.00
95.00,172.50
96.00,174.00
97.00,175.50
98.00,177.00
99.00,178.50
