x,y
0.00,32.00
1.00,33.60
2.00,35.20
3.00,36.80
4.00,38.40
5.00,40.00
6.00,41.60
7.00,43.20
8.00,44.80
9.00,46.40
10.00,48.00
11.00,49.60
12.00,51.20
13.00,52.80
14.00,54.40
15.00,56.00
16.00,57.60
17.00,59.20
18.00,60.80
19.00,62.40
20.00,64.00
21.00,65.60
22.00,67.20
23.00,68.80
24.00,70.40
25.00,72.00
26.00,73.60
27.00,75.20
28.00,76.80
29.00,78.40
30.00,80.00
31.00,81.60
32.00,83.20
33.00,84.80
34.00,86.40
35.00,88.00
36.00,89.60
37.00,91.20
38.00,92.80
39.00,94.40
40.00,96.00
41.00,97.60
42.00,99.20
43.00,100.80
44.00,102.40
45.00,104.00
46.00,105.60
47.00,107.20
48.00,108.80
49.00,110.40
50.00,112.00
51.00,113.60
52.00,115.20
53.00,116.80
54.00,118.40
55.00,120.00
56.00,121.60
57.00,123.20
58.00,124.80
59.00,126.40
60.00,128.00
61.00,129.60
62.00,131.20
63.00,132.80
64.00,134.40
65.00,136.00
66.00,137.60
67.00,139.20
68.00,140.80
69.00,142.40
70.00,144.00
71.00,145.60
72.00,147.20
73.00,148.80
74.00,150.40
75.00,152.00
76.00,153.60
77.00,155.20
78.00,156.80
79.00,158.40
80.00,160.00
81.00,161.60
82.00,163.20
83.00,164.80
84.00,166.40
85.00,168.00
86.00,169.60
87.00,171.20
88.00,172.80
89.00,174.40
90.00,176.00
91.00,177.60
92.00,179.20
93.00,180.80
94.00,182.40
95.00,184.00
96.00,185.60
97.00,187.20
98.00,188.80
99.00,190.40
